name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Mounted LMG,acs_mg,1,,200,300,,30,,1,60,2,,,,KINETIC,,,0,0.2,3,,0,10,1,15,,750,,,10,"PD, SYSTEM ","no_sell, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mounted MG,acs_hmg,2,,300,300,,35,,1,65,3,,,,KINETIC,,,0,0.1,2,,0,15,1,15,,800,,,10,"PD, SYSTEM ","no_sell, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mounted HMG,acs_vulcan,2,,400,350,,40,,1,75,5,,,,FRAGMENTATION,,,0,0.05,1,,0,20,1,15,,850,,,10,"PD, SYSTEM ","no_sell, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gunner_head,acs_head_gunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
watchman_head,acs_head_watchman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
trooper_head,acs_head_trooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mounted HMG,acs_watchman_vulcan,2,,400,350,,40,,1,75,5,,,,FRAGMENTATION,,,0,0.05,1,,0,20,1,15,,850,,,10,"PD, SYSTEM ","no_sell, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,1
Mounted MG,acs_trooper_hmg,2,,300,300,,35,,1,65,3,,,,KINETIC,,,0,0.1,2,,0,15,1,15,,800,,,10,"PD, SYSTEM ","no_sell, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,2
Mounted LMG,acs_peasant_mg,1,,200,300,,30,,1,60,2,,,,KINETIC,,,0,0.2,3,,0,10,1,15,,750,,,10,"PD, SYSTEM ","no_sell, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,0.5
